企业代号,销方单位代号,销方单位代号
E1,A03305,813
E1,A03612,563
E1,A00370,399
E1,A05891,99
E1,A06909,98
E1,A09920,76
E1,A13447,51
E1,A09291,49
E1,A06372,46
E1,A08827,40
E1,A13734,40
E1,A09936,37
E1,A13197,35
E1,A13116,32
E1,A09974,24
E1,A04835,23
E1,A13557,22
E1,A06204,21
E1,A06470,21
E1,A13842,17
E1,A07242,16
E1,A09581,16
E1,A00314,14
E1,A09525,13
E1,A00220,12
E1,A06131,12
E1,A12166,12
E1,A12791,11
E1,A13655,11
E1,A03214,10
E1,A10698,10
E1,A13452,10
E1,A07718,9
E1,A02282,8
E1,A05527,8
E1,A13733,8
E1,A01714,7
E1,A01903,7
E1,A02267,7
E1,A03142,7
E1,A03242,7
E1,A03626,7
E1,A03733,7
E1,A03850,7
E1,A03874,7
E1,A05992,7
E1,A06821,7
E1,A07567,7
E1,A08648,7
E1,A03145,6
E1,A03541,6
E1,A06374,6
E1,A06451,6
E1,A06487,6
E1,A07644,6
E1,A11189,6
E1,A00610,5
E1,A03091,5
E1,A03346,5
E1,A05545,5
E1,A05991,5
E1,A06038,5
E1,A06839,5
E1,A07421,5
E1,A08755,5
E1,A08913,5
E1,A09106,5
E1,A09196,5
E1,A09198,5
E1,A12387,5
E1,A12800,5
E1,A00297,4
E1,A00980,4
E1,A01005,4
E1,A02382,4
E1,A02988,4
E1,A02994,4
E1,A06258,4
E1,A07051,4
E1,A07665,4
E1,A07751,4
E1,A08835,4
E1,A09283,4
E1,A09656,4
E1,A10049,4
E1,A10099,4
E1,A11150,4
E1,A11691,4
E1,A12419,4
E1,A13394,4
E1,A13415,4
E1,A13769,4
E1,A00599,3
E1,A00608,3
E1,A00615,3
E1,A00709,3
E1,A00969,3
E1,A02035,3
E1,A02388,3
E1,A02427,3
E1,A02908,3
E1,A02954,3
E1,A02983,3
E1,A03422,3
E1,A06676,3
E1,A07155,3
E1,A07445,3
E1,A07555,3
E1,A07604,3
E1,A07619,3
E1,A12117,3
E1,A12333,3
E1,A12717,3
E1,A12807,3
E1,A13389,3
E1,A13873,3
E1,A00248,2
E1,A00594,2
E1,A00627,2
E1,A00674,2
E1,A00882,2
E1,A00883,2
E1,A00908,2
E1,A01019,2
E1,A01741,2
E1,A02008,2
E1,A02081,2
E1,A02284,2
E1,A02378,2
E1,A02731,2
E1,A03184,2
E1,A03456,2
E1,A03552,2
E1,A03727,2
E1,A03795,2
E1,A03877,2
E1,A04565,2
E1,A04634,2
E1,A04635,2
E1,A05575,2
E1,A05617,2
E1,A05618,2
E1,A06212,2
E1,A06231,2
E1,A06232,2
E1,A06266,2
E1,A06310,2
E1,A06315,2
E1,A06410,2
E1,A06506,2
E1,A06677,2
E1,A06754,2
E1,A06767,2
E1,A06945,2
E1,A07244,2
E1,A07313,2
E1,A07394,2
E1,A07400,2
E1,A07476,2
E1,A07517,2
E1,A07528,2
E1,A07672,2
E1,A07703,2
E1,A07857,2
E1,A07907,2
E1,A07939,2
E1,A08657,2
E1,A08841,2
E1,A08973,2
E1,A09151,2
E1,A09256,2
E1,A09269,2
E1,A09484,2
E1,A11206,2
E1,A11483,2
E1,A11803,2
E1,A12732,2
E1,A13212,2
E1,A13230,2
E1,A13451,2
E1,A13568,2
E1,A13586,2
E1,A13590,2
E1,A13823,2
E1,A13830,2
E1,A13892,2
E1,A00309,1
E1,A00431,1
E1,A00480,1
E1,A00520,1
E1,A00543,1
E1,A00568,1
E1,A00587,1
E1,A00609,1
E1,A00618,1
E1,A00628,1
E1,A00678,1
E1,A00679,1
E1,A00734,1
E1,A00874,1
E1,A00992,1
E1,A01038,1
E1,A01053,1
E1,A01113,1
E1,A01117,1
E1,A01205,1
E1,A01380,1
E1,A01446,1
E1,A01449,1
E1,A01475,1
E1,A01484,1
