,销方单位代号
A00370,20673
A07242,6261
A06470,5803
A13116,5704
A03889,4561
A05891,2679
A09920,2000
A00356,1644
A06204,1617
A13197,1487
A06451,1355
A13655,1316
A07313,1262
A07368,1259
A13557,1156
A02953,1139
A13157,1105
A06372,1069
A03310,956
A02954,889
A03305,877
A03325,868
A03038,751
A07012,726
A02282,712
A09656,703
A07555,690
A00297,655
A07333,654
A00357,653
A02382,639
A05430,611
A03145,594
A12807,586
A02008,584
A09208,579
A03612,563
A10181,543
A00196,497
A10698,490
A06790,488
A06843,488
A07445,477
A05862,458
A07373,439
A08859,423
A02454,410
A02948,398
A13725,398
A01205,395
A13151,394
A07088,385
A00352,379
A04488,374
A06374,371
A09957,370
A06084,364
A06608,351
A00799,349
A08943,348
A05076,340
A09200,337
A03292,318
A01714,315
A09180,310
A00883,307
A12791,301
A00351,298
A02210,298
A08474,294
A01543,291
A04584,291
A03160,287
A05010,286
A08648,282
A00748,280
A00355,274
A09263,274
A07528,272
A03811,270
A02468,268
A12117,265
A07921,263
A02872,262
A06539,262
A07483,255
A06674,252
A06581,248
A08652,246
A09173,245
A00354,242
A03869,241
A00350,234
A04990,233
A01380,230
A08512,228
A10562,226
A06378,226
A01308,225
A10990,225
A06928,221
A12952,220
A10133,218
A06785,215
A07567,215
A03388,215
A11104,213
A13080,212
A01005,206
A01854,206
A08428,204
A10956,204
A06453,200
A03626,198
A08229,198
A08973,197
A05628,188
A01137,187
A05137,187
A07907,185
A06909,183
A03346,182
A01229,182
A07420,181
A04011,181
A09112,179
A00327,178
A12600,177
A03431,176
A06632,176
A00863,175
A02832,172
A08515,171
A07219,171
A07051,170
A08507,170
A06738,168
A09107,168
A12333,167
A04780,164
A11712,163
A09936,163
A03794,162
A06038,161
A11105,161
A07244,160
A07837,158
A12782,158
A10842,156
A10334,155
A11163,155
A00823,154
A07412,154
A03597,153
A10270,153
A00775,152
A02284,152
A12387,151
A09198,151
A06684,151
A02558,150
A05396,150
A13585,149
A11588,149
A04544,147
A10144,147
A12889,143
A08395,142
A11845,142
A11273,142
A11379,142
A00611,141
A03796,140
A07164,139
A05545,139
A06795,138
A04965,137
A06027,137
A12675,137
A02982,136
A11427,136
A03645,135
A08906,135
A07722,134
A05811,132
A09034,132
A04466,132
A07132,131
A06673,131
A12256,131
A02289,129
A05888,128
A10605,128
A00882,128
A12815,127
A09224,126
A13670,126
A06275,126
A10647,126
A09631,125
A06959,125
A00908,125
A03481,124
A08001,124
A06506,122
A02819,121
A03302,119
A02956,118
A13059,117
A08110,116
A07518,116
A06707,113
A05491,113
A10281,112
A07548,112
A03419,111
A11411,111
A02648,111
A12492,111
A08392,111
A01127,110
A13055,110
A00362,110
A00608,110
A05495,110
A09546,108
A07719,107
A02344,107
A03078,106
A06503,106
A02864,106
A07756,106
A02606,105
A03832,105
A06485,104
A03317,104
A06725,104
A09259,103
A06516,102
A09525,101
A13288,101
A06231,101
A02866,101
A09916,101
A03624,101
A09184,101
A08123,100
A10946,100
A06740,99
A00568,99
A08967,99
A02102,98
A05954,98
A05330,98
A00344,98
A00345,97
A06821,97
A07302,97
A07413,97
A03482,96
A01746,96
A03622,96
A13686,96
A07225,95
A13600,94
A01421,94
A09241,93
A06541,93
A07459,93
A09204,92
A08257,92
A02549,91
A07922,91
A12195,91
A09256,90
A04962,90
A05953,90
A06637,90
A00795,89
A03450,89
A00902,89
A06534,89
A03679,89
A08077,89
A09516,88
A06117,88
A02253,87
A01283,87
A07127,87
A05640,87
A06930,87
A03010,87
A02708,87
A02400,87
A06255,86
A02379,86
A06846,86
A06247,86
A02725,86
A07495,86
