销方单位代号,价税合计
A00001,1200.0
A00002,145.0
A00003,338.0
A00004,594.0
A00005,724.0
A00006,450.0
A00007,264.0
A00008,212.0
A00009,152.0
A00010,22687.0
A00011,586260.6
A00012,27338.2
A00013,178.0
A00014,1274341.5
A00015,2244.0
A00016,199709.0
A00017,738.0
A00018,380800.0
A00019,542.0
A00020,144.0
A00021,125.0
A00022,125.5
A00023,198.0
A00024,226.0
A00025,49375.0
A00026,37147.66
A00027,780.0
A00028,368604.3
A00029,143.6
A00030,1556.0
A00031,3317.0
A00032,7442.0
A00033,16868.0
A00034,1553.0
A00035,3728.0
A00036,161255.0
A00037,3756.0
A00038,100.0
A00039,5000.0
A00040,1400.0
A00041,690.0
A00042,266.0
A00043,1161.0
A00044,13000.0
A00045,147.0
A00046,400.0
A00047,261.0
A00048,240.0
A00049,6010.82
A00050,1678.0
A00051,282.0
A00052,585.0
A00053,36.47
A00054,1294.0
A00055,7753.0
A00056,564.34
A00057,250.0
A00058,1974.0
A00059,11000.0
A00060,93926.0
A00061,20638.8
A00062,1881.0
A00063,6280.0
A00064,2477.0
A00065,4496.0
A00066,76.37
A00067,59640.0
A00068,12980.0
A00069,8650.0
A00070,316.0
A00071,638.0
A00072,7104.0
A00073,3337.0
A00074,1330370.0
A00075,5885.0
A00076,218.2
A00077,206.0
A00078,754.0
A00079,262384.0
A00080,-69915.0
A00081,455500.0
A00082,378000.0
A00083,31320.0
A00084,8346.0
A00085,520.0
A00086,670.0
A00087,32313.809999999998
A00088,2878.0
A00089,800000.0
A00090,1588.0
A00091,570606.36
A00092,338.0
A00093,359.0
A00094,230756.0
A00095,2288.0
A00096,21619.04
A00097,1650.0
A00098,1637.0
A00099,125990.0
A00100,106.2
A00101,359.0
A00102,31716.0
A00103,4164.0
A00104,161200.0
A00105,2760.0
A00106,280.35
A00107,4333.0
A00108,1834.0
A00109,320.0
A00110,9713.0
A00111,23733.0
A00112,11840.0
A00113,400.0
A00114,686000.0
A00115,19500.0
A00116,3168.98
A00117,39304.0
A00118,20000.0
A00119,200.0
A00120,5525.5
A00121,253389.0
A00122,637.0
A00123,0.0
A00124,3798.0
A00125,1150.0
A00126,1072972.0
A00127,999.0
A00128,12000.0
A00129,6308.99
A00130,264.0
A00131,1688.0
A00132,1185.0
A00133,42721.0
A00134,904.0
A00135,100100.0
A00136,700.0
A00137,3861.05
A00138,890.7
A00139,1647.0
A00140,94.05
A00141,2168.0
A00142,1296.27
A00143,108.8
A00144,224290.99
A00145,6337.5
A00146,215.0
A00147,25800.0
A00148,104100.0
A00149,3026.0
A00150,155000.0
A00151,2673216.71
A00152,4499.0
A00153,2981.0
A00154,1358.0
A00155,7204038.0
A00156,588.0
A00157,2876.0
A00158,54.0
A00159,3871.12
A00160,202798.0
A00161,136.0
A00162,2370.0
A00163,507.8
A00164,447.0
A00165,1147.0
A00166,52000.0
A00167,399.0
A00168,161238.0
A00169,2292.0
A00170,2332.0
A00171,6713634.6
A00172,306150.0
A00173,5800.0
A00174,120.0
A00175,1703.61
A00176,3671.2599999999998
A00177,3345.3099999999995
A00178,2800.0
A00179,1119.0
A00180,630115.0
A00181,9429.92
A00182,1985.19
A00183,827.0
A00184,99000.0
A00185,1235.0
A00186,2946.0
A00187,13215.0
A00188,1095.92
A00189,28650.0
A00190,347190.0
A00191,1155.0
A00192,104772.0
A00193,2049.0
A00194,51760.0
A00195,216793.6
A00196,7433498.04
A00197,3230.0
A00198,1182.6299999999999
A00199,512.7
A00200,455000.0
A00201,648.0
A00202,67085.29000000001
A00203,2214.0
A00204,3080.0
A00205,308.0
A00206,886.0
A00207,1252.0
A00208,1520.0
A00209,988.0
A00210,4761.0
A00211,13665.0
A00212,31.5
A00213,1022622.0
A00214,59.0
A00215,254.0
A00216,1335.0
A00217,16800.0
A00218,66.0
A00219,10840.0
A00220,793989.5
A00221,3643.0
A00222,1063.0
A00223,854.0
A00224,1087.0
A00225,75000.0
A00226,2160.0
A00227,5629.0
A00228,416.25
A00229,1208.0
A00230,88.79
A00231,69.9
A00232,517.0
A00233,1004.0
A00234,190.0
A00235,2479.0
A00236,119.8
A00237,335.0
A00238,174.44
A00239,576.0
A00240,2005.65
A00241,1624.6
A00242,233640.0
A00243,10092495.2
A00244,2456.96
A00245,1407.5
A00246,2857.0
A00247,1156.0
A00248,68041.0
A00249,153382.0
A00250,220.0
A00251,318.0
A00252,2328.0
A00253,1740000.0
A00254,26104.0
A00255,1401.8899999999999
A00256,91872.0
A00257,13330.0
A00258,25572.56
A00259,252.0
A00260,600.0
A00261,100.0
A00262,100036.0
A00263,797989.0
A00264,219000.0
A00265,6505953.1000000015
A00266,1314478.8
A00267,1710.0
A00268,59.0
A00269,2188.0
A00270,94052.0
A00271,19800.0
A00272,10886.0
A00273,5752.64
A00274,10770.0
A00275,1978.0
A00276,4060.0
A00277,3528.35
A00278,22939.92
A00279,1370.01
A00280,85865.35000000002
A00281,672.0
A00282,5753.6
A00283,792.0
A00284,68773.6
A00285,1000.0
A00286,13826.0
A00287,30000.0
A00288,4896.0
A00289,26086.460000000006
A00290,200000.0
A00291,120.0
A00292,3401.0
A00293,36066.0
A00294,708053.7
A00295,124119.06000000001
A00296,70497.23
A00297,5026055.88
A00298,14001.55
A00299,190180.0
A00300,16824.239999999998
A00301,5799.41
A00302,13550.0
A00303,3600.0
A00304,2830.0
A00305,2093.0
A00306,178548.0
A00307,297500.0
A00308,380.0
A00309,26763.85
A00310,3000.0
A00311,23050.0
A00312,51230.0
A00313,9878.14
A00314,530964.8799999999
A00315,11006.0
A00316,6528.98
A00317,8952.720000000001
A00318,1208.65
A00319,29500.910000000003
A00320,37865.14
A00321,18881.98
A00322,5175.0
A00323,13743.34
A00324,9882.66
A00325,13926.9
A00326,239579.01
A00327,768380.89
A00328,185021.30000000002
A00329,3000.0
A00330,2315.62
A00331,3061.0
A00332,62552.18000000001
A00333,4700.0
A00334,918.02
A00335,20684.9
A00336,14600.0
A00337,29810.0
A00338,1440.0
A00339,32100.0
A00340,96960.0
A00341,300.0
A00342,366060.32999999996
A00343,2000.0
A00344,2149303.3
A00345,17393.32
A00346,2900.0
A00347,100800.0
A00348,7680.300000000001
A00349,10116.590000000002
A00350,21725.17000000001
A00351,48871.969999999994
A00352,34237.44999999999
A00353,17302.189999999995
A00354,24137.1
A00355,26914.190000000002
A00356,1439573.2100000016
A00357,57750.52999999996
A00358,600.0
A00359,3190.7
A00360,533350.0
A00361,127500.0
A00362,8590419.64
A00363,229702.85
A00364,73503.64
A00365,360148.49000000005
A00366,427778.02999999997
A00367,2381735.25
A00368,1076185.9
A00369,193521.63
A00370,8176892.269999984
A00371,383622.53
A00372,274610.1399999999
A00373,2262452.6500000004
A00374,800.0
A00375,489.2
A00376,870.0
A00377,100.0
A00378,350.0
A00379,5475.0
A00380,5000.0
A00381,1287.79
A00382,565.0
A00383,2000.0
A00384,400.0
A00385,3100.0
A00386,170145.0
A00387,140659.59999999998
A00388,100.0
A00389,230.0
A00390,599.0
A00391,305.0
A00392,2000.0
A00393,10000.0
A00394,1580.0
A00395,100.0
A00396,270.0
A00397,2019.0
A00398,1075.0
A00399,1655.0
A00400,690108.3299999998
A00401,2123.0
A00402,650.0
A00403,1661.0
A00404,580.0
A00405,400.0
A00406,260.0
A00407,800.0
A00408,300.0
A00409,195.0
A00410,275.0
A00411,100.0
A00412,2072.0
A00413,3846.05
A00414,1789.0
A00415,200.0
A00416,199.92
A00417,400.0
A00418,300.0
A00419,550.0
A00420,350.0
A00421,1251.0
A00422,1600.0
A00423,3730.0
A00424,1929.0
A00425,1641.0
A00426,700.0
A00427,180.0
A00428,50.0
A00429,1726.0
A00430,394.15
A00431,60997.45
A00432,650.0
A00433,420.0
A00434,1395.0
A00435,210.0
A00436,922.0
A00437,545.0
A00438,313.0
A00439,930.0
A00440,380.0
A00441,226.0
A00442,183.75
A00443,351.0
A00444,180.0
A00445,1810.0
A00446,230.0
A00447,499.98
A00448,815.0
A00449,400.0
A00450,340.0
A00451,375.0
A00452,300.0
A00453,390.0
A00454,1720.09
A00455,655.0
A00456,845.0
A00457,481.0
A00458,449.0
A00459,648.0
A00460,150.0
A00461,100.0
A00462,200.0
A00463,200.0
A00464,3066.23
A00465,3531.0
A00466,765.0
A00467,4187.0
A00468,784.0
A00469,2200.0
A00470,500.0
A00471,155.0
A00472,860.0
A00473,945.0
A00474,200.0
A00475,890.0
A00476,1200.0
A00477,846.0
A00478,1850.0
A00479,2532.0
A00480,1080.0
A00481,1570.09
A00482,1867.0
A00483,2137.0
A00484,340.0
A00485,264.0
A00486,455.0
A00487,300.0
A00488,2406.0
A00489,6196.4
A00490,579.0
A00491,200.0
A00492,302.0
A00493,9756.529999999999
A00494,871.0
A00495,930.02
A00496,320.0
A00497,217885.01
A00498,800.0
A00499,265.0
A00500,2447633.3
A00501,440.0
A00502,300.0
A00503,1530.0
A00504,210.0
A00505,550.0
A00506,14280.3
A00507,100.0
A00508,470.0
A00509,200.0
A00510,450.0
A00511,253.0
A00512,530.0
A00513,751.0
A00514,700.0
A00515,220.0
A00516,2000.0
A00517,350.0
A00518,10063.0
A00519,91.0
A00520,615.62
A00521,1087.0
A00522,200.0
A00523,250.0
A00524,1772.0
A00525,1195.0
A00526,2990.0
A00527,3782.04
A00528,100.0
A00529,400.0
A00530,1245.0
A00531,285.0
A00532,2487.0
A00533,1710.65
A00534,540.0
A00535,1175.0
A00536,2530.0
A00537,3837.5099999999998
A00538,2250.7
A00539,300.0
A00540,335.0
A00541,5964.62
A00542,9329.0
A00543,14972.0
A00544,9657.740000000002
A00545,300.0
A00546,300.0
A00547,249.0
A00548,560.0
A00549,400.0
A00550,270.0
A00551,250.0
A00552,300.0
A00553,1320.0
A00554,871.0
A00555,1031.0
A00556,300.0
A00557,315.0
A00558,950.0
A00559,470.0
A00560,6199.0
A00561,5904.0
A00562,3015.0
A00563,200.0
A00564,220.0
A00565,1900.0
A00566,510.0
A00567,4104.0
A00568,1781019.6999999993
A00569,26077.84
A00570,3914.75
A00571,790.0
A00572,27630.699999999997
A00573,2366.0
A00574,12475.03
A00575,1141.0
A00576,1610.0
A00577,4180.0
A00578,427.0
A00579,987.0
A00580,11726.550000000001
A00581,200.0
A00582,600.0
A00583,1411.0
A00584,510.0
A00585,2671.0
A00586,57520.0
A00587,27026.219999999994
A00588,5968.3
A00589,8166.0
A00590,630.0
A00591,2839.0
A00592,1410.0
A00593,552.5
A00594,2914.0
A00595,5633.0
A00596,500.0
A00597,1957.0
A00598,1340.0
A00599,11635.470000000001
A00600,300.0
A00601,200.0
A00602,2971.63
A00603,200.0
A00604,19105.010000000002
A00605,7951.0
A00606,928.58
A00607,15771.96
A00608,51529.479999999996
A00609,21449.449999999997
A00610,7745.98
A00611,70381.81
A00612,38446.38999999999
A00613,12171.0
A00614,312.0
A00615,41171.96
A00616,7688.25
A00617,570.0799999999999
A00618,13303.35
A00619,2330.02
A00620,6491.26
A00621,7224.99
A00622,4551.0
A00623,16767.629999999997
A00624,241.94
A00625,850.0
A00626,340.0
A00627,11004.04
A00628,53712.02
A00629,1221.0
A00630,450.0
A00631,260.0
A00632,230.0
A00633,3016.16
A00634,700.0
A00635,725.0
A00636,2769.0
A00637,300.0
A00638,3230.0
A00639,305.0
A00640,317.62
A00641,100.0
A00642,320.0
A00643,315.0
A00644,285.0
A00645,1175.0
A00646,1110.0
A00647,515.0
A00648,400.0
A00649,1053.0
A00650,200.0
A00651,1661.0
A00652,350.0
A00653,3410.0
A00654,3375.46
A00655,1183.0
A00656,410.0
A00657,805.0
A00658,2265.0
A00659,975.0
A00660,1300.0
A00661,750.0
A00662,1600.0
A00663,663.0
A00664,605.0
A00665,1070.0
A00666,2052.0
A00667,1920.0
A00668,200.0
A00669,5308.6
A00670,220.0
A00671,625.0
A00672,1000.0
A00673,200.0
A00674,1280.0
A00675,100.0
A00676,400.0
A00677,100.0
A00678,9259.75
A00679,10139.0
A00680,100.0
A00681,300.0
A00682,770.0
A00683,680.0
A00684,500.0
A00685,2310.0
A00686,1310.0
A00687,1360.0
A00688,210.0
A00689,800.0
A00690,580.28
A00691,800.0
A00692,1280.0
A00693,325.0
A00694,1040.0
A00695,7217.0
A00696,5441.0
A00697,4858.48
A00698,7435.0
A00699,3090.0
A00700,5100.0
A00701,3270.0
A00702,1037.0
A00703,800.0
A00704,625.0
A00705,459.0
A00706,300.0
A00707,100.0
A00708,1713.17
A00709,2930.0
A00710,415.0
A00711,1913.74
A00712,1100.0
A00713,778.0
A00714,2692.0
A00715,8784.97
A00716,446.11
A00717,200.0
A00718,500.0
A00719,300.0
A00720,2044.94
A00721,535.0
A00722,640.0
A00723,1205.0
A00724,200.0
A00725,270.05
A00726,1560.0
A00727,10326.0
A00728,280.0
A00729,9671.38
A00730,7914.96
A00731,5031.0
A00732,13624.029999999999
A00733,6522.0
A00734,5036.0
A00735,9036.01
A00736,5406.0
A00737,4763168.8
A00738,3078.45
A00739,13743.57
A00740,300.0
A00741,1744.0
A00742,2497.3
A00743,365188.6199999997
A00744,49.95
A00745,3123.47
A00746,2874.85
A00747,552.0
A00748,306887.28
A00749,2592.0
A00750,1046.69
A00751,891.3000000000001
A00752,1320.0
A00753,565.0
A00754,4151.0
A00755,1030.0
A00756,1365.0
A00757,300.0
A00758,1235.0
A00759,3865.0
A00760,2722.0
A00761,270.0
A00762,4520.0
A00763,4488.0
A00764,650.0
A00765,2301.0
A00766,2890.0
A00767,592.0
A00768,4204.0
A00769,8065.0
A00770,410.0
A00771,4610.0
A00772,9626.0
A00773,230.0
A00774,200.0
A00775,57122.0
A00776,21775.25
A00777,5574.0
A00778,4475.0
A00779,13220.16
A00780,36000.0
A00781,320.0
A00782,16740.0
A00783,142000.0
A00784,432.0
A00785,927853.6
A00786,4664.5
A00787,1205989.83
A00788,111000.0
A00789,2841.0
A00790,40606.66
A00791,4445.450000000001
A00792,91925.18999999999
A00793,45413.3
A00794,228.0
A00795,271565.19999999995
A00796,944451.1
A00797,160000.0
A00798,2000.0
A00799,29378096.179999992
A00800,40673.7
A00801,57000.0
A00802,25008.2
A00803,1503.8
A00804,13735.65
A00805,36170.0
A00806,36760.78
A00807,9000.0
A00808,139.0
A00809,1456.8
A00810,50806.0
A00811,550664.0
A00812,1160046.0
A00813,100.0
A00814,5064.0
A00815,1400.0
A00816,128.0
A00817,190.0
A00818,429274.0
A00819,6400.0
A00820,400000.0
A00821,30000.0
A00822,25000.0
A00823,184719.45
A00824,314.0
A00825,42000.0
A00826,84910.91
A00827,512.4300000000001
A00828,6136.0
A00829,22760.48
A00830,127879.0
